s,f,all,label
0.20442450,0.84321415,1.04763870,1.00000000
0.23460037,0.90399486,1.13859520,1.00000000
0.25283770,1.12817480,1.38101240,1.00000000
0.28883547,0.93872684,1.22756230,1.00000000
0.81461674,1.42634460,2.24096130,1.00000000
0.31191304,1.01828590,1.33019890,1.00000000
0.95217390,1.42906050,2.38123440,1.00000000
1.17725200,1.39459670,2.57184890,1.00000000
0.51862070,0.79388210,1.31250290,1.00000000
0.46913865,0.70231414,1.17145280,1.00000000
0.23634422,0.52749930,0.76384354,1.00000000
0.10369273,0.88955003,0.99324274,1.00000000
0.49130270,0.76622320,1.25752590,1.00000000
0.37119930,0.96942663,1.34062600,1.00000000
0.93630314,1.13644520,2.07274820,1.00000000
0.14208348,1.02187510,1.16395870,1.00000000
0.80602527,1.36774220,2.17376760,1.00000000
0.21435285,1.05627160,1.27062440,1.00000000
0.51676960,0.93210495,1.44887450,1.00000000
0.41009100,0.52705430,0.93714535,1.00000000
0.16616185,0.57233490,0.73849670,1.00000000
0.72582346,1.48349060,2.20931400,1.00000000
0.15319599,0.63821876,0.79141474,1.00000000
0.14583036,0.91848516,1.06431560,1.00000000
0.39215782,0.65185080,1.04400860,1.00000000
0.81759760,1.48474010,2.30233760,1.00000000
0.31319487,0.60923850,0.92243340,1.00000000
0.36085220,0.84890234,1.20975460,1.00000000
0.86111620,1.44824310,2.30935930,1.00000000
0.43550685,1.18368610,1.61919300,1.00000000
0.49237410,0.78586230,1.27823640,1.00000000
0.21334362,0.71514815,0.92849180,1.00000000
0.17505556,0.95426300,1.12931850,1.00000000
0.65495855,1.12126450,1.77622300,1.00000000
0.16576113,0.70477450,0.87053560,1.00000000
0.58091944,1.16500800,1.74592730,1.00000000
0.13574253,0.38384384,0.51958640,1.00000000
0.48094198,0.86842316,1.34936510,1.00000000
0.35821630,0.83039546,1.18861170,1.00000000
0.88703800,1.34691630,2.23395440,1.00000000
0.38652065,0.93319094,1.31971160,1.00000000
0.16216148,0.90627456,1.06843600,1.00000000
0.23750566,0.80077946,1.03828510,1.00000000
0.27167374,0.79297936,1.06465320,1.00000000
1.30078430,1.29640070,2.59718510,1.00000000
0.24612686,1.13410280,1.38022970,1.00000000
0.82523300,1.50896440,2.33419750,1.00000000
1.15759130,1.30514790,2.46273920,1.00000000
0.71576214,1.49688050,2.21264270,1.00000000
0.75141190,1.41691120,2.16832300,1.00000000
0.26843098,1.11754180,1.38597270,1.00000000
1.05275080,1.36999870,2.42274950,1.00000000
0.12048561,0.73477390,0.85525950,1.00000000
0.29872340,0.75228095,1.05100440,1.00000000
0.65833950,0.86575145,1.52409100,1.00000000
0.13432905,0.73365500,0.86798406,1.00000000
0.53749810,0.98268855,1.52018670,1.00000000
0.14965582,0.72927650,0.87893230,1.00000000
0.62887394,1.35210080,1.98097480,1.00000000
0.23493637,0.69580394,0.93074030,1.00000000
0.15339501,0.57758695,0.73098195,1.00000000
0.24135943,0.60568170,0.84704113,1.00000000
1.01485090,1.23370300,2.24855380,1.00000000
0.14026573,1.26148700,1.40175270,1.00000000
1.72017190,1.16665000,2.88682200,1.00000000
0.61822087,1.45600840,2.07422920,1.00000000
